# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pnum:        Number of Planets in System,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra_str:         RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ra:             RA [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec_str:        Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN dec:            Dec [sexagesimal],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optmag:      Optical Magnitude [mag],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_optband:     Optical Magnitude Band,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Effective Temperature [K],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth radii],,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_rade,pl_mnum
838,K2-47,b,1,31.6372,0.1779,,,,,0.169,,11h14m19.82s,168.582603,+02d46m50.6s,2.780711,,14.085,V (Johnson),5054,0.75,0.76,1.89,0
839,K2-48,b,1,20.5065,0.1344,,,,,0.2,,11h44m29.65s,176.123545,+03d16m20.7s,3.272425,,14.277,V (Johnson),4899,0.77,0.73,2.24,0
840,K2-49,b,1,2.77065,0.0309,,,,,0.172,,11h49m16.85s,177.320206,+03d28m32.0s,3.475569,,15.668,V (Johnson),4175,0.51,0.45,1.93,0
841,K2-5,b,2,5.73594,0.0532,,87.35,,,0.17,,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,,14.91,V (Johnson),3930,0.61,0.57,1.91,0
842,K2-5,c,2,10.93241,0.0818,,86.95,,,0.202,,11h17m12.84s,169.303502,-01d52m40.7s,-1.877976,,14.91,V (Johnson),3930,0.61,0.57,2.26,0
843,K2-50,b,1,8.7529,0.0705,,,,,0.142,,11h17m56.07s,169.483631,+05d59m18.2s,5.988378,,14.717,V (Johnson),4326,0.61,0.55,1.59,0
844,K2-52,b,1,3.53482,0.0485,,,,,0.99,,16h26m26.74s,246.611416,-24d58m11.8s,-24.969948,,15.037,Kepler-band,6113,1.21,1.49,11.1,0
845,K2-53,b,1,12.2054,0.0975,,,,,0.223,,16h16m34.03s,244.141811,-20d24m01.9s,-20.400533,,11.888,Kepler-band,5269,0.83,0.85,2.5,0
846,K2-54,b,1,9.7843,0.0671,,,,,0.103,,22h32m13.00s,338.054185,-17d32m38.4s,-17.543994,,14.042,V (Johnson),3798,0.42,0.38,1.15,0
847,K2-55,b,1,2.849258,0.03486,,,,,0.341,,22h15m00.46s,333.751927,-17d15m02.5s,-17.250707,,13.546,V (Johnson),4456,0.7,0.63,3.82,0
848,K2-57,b,1,9.0063,0.0746,,,,,0.187,,22h50m46.01s,342.691712,-14d04m11.6s,-14.069886,,14.501,V (Johnson),4434,0.68,0.62,2.1,0
849,K2-58,b,3,7.05254,0.0692,,,,,0.239,,22h15m17.24s,333.821819,-14d02m59.3s,-14.049808,,12.378,V (Johnson),5413,0.89,0.86,2.68,0
850,K2-58,c,3,2.53726,0.035,,,,,0.145,,22h15m17.24s,333.821819,-14d02m59.3s,-14.049808,,12.378,V (Johnson),5413,0.89,0.86,1.62,0
851,K2-58,d,3,22.8827,0.1517,,,,,0.153,,22h15m17.24s,333.821819,-14d02m59.3s,-14.049808,,12.378,V (Johnson),5413,0.89,0.86,1.71,0
852,K2-59,b,2,20.6921,0.1354,,,,,0.215,,22h35m46.16s,338.942343,-14d01m39.9s,-14.027745,,14.226,V (Johnson),5055,0.77,0.73,2.41,0
853,K2-59,c,2,11.2954,0.0905,,,,,0.205,,22h35m46.16s,338.942343,-14d01m39.9s,-14.027745,,14.226,V (Johnson),5055,0.77,0.73,2.3,0
854,K2-6,b,1,30.94191,0.1898,,,,,0.223,,11h52m46.14s,178.19226,-01d11m54.5s,-1.198477,,12.654,V (Johnson),5850,0.97,0.96,2.5,0
855,K2-60,b,1,3.00265,0.045,0,88.49,0.426,Mass,0.683,1.7,22h34m25.48s,338.606184,-13d43m54.1s,-13.731702,,12.789,V (Johnson),5500,0.97,1.12,7.656,0
856,K2-61,b,1,2.57302,0.0392,,,,,0.221,,22h38m41.94s,339.674743,-13d33m36.1s,-13.560024,,12.991,V (Johnson),6293,1.21,1.36,2.48,0
857,K2-62,b,2,6.67202,0.0636,,,,,0.191,,22h17m27.40s,334.36418,-12d11m15.0s,-12.187498,,12.397,V (Johnson),4880,0.77,0.73,2.14,0
858,K2-62,c,2,16.1966,0.1148,,,,,0.191,,22h17m27.40s,334.36418,-12d11m15.0s,-12.187498,,12.397,V (Johnson),4880,0.77,0.73,2.14,0
859,K2-63,b,1,20.257,0.1627,,,,,0.287,,22h13m42.40s,333.426666,-12d03m58.9s,-12.066374,,12.876,V (Johnson),6771,1.4,1.63,3.22,0
860,K2-64,b,1,6.53044,0.0619,,,,,0.185,,22h09m39.27s,332.413612,-11d25m43.5s,-11.428742,,14.086,V (Johnson),5312,0.74,0.73,2.07,0
861,K2-65,b,1,12.6475,0.1014,,,,,0.141,,22h12m50.82s,333.211761,-10d55m31.4s,-10.925379,78.06,10.801,V (Johnson),5213,0.87,0.84,1.58,0
862,K2-66,b,1,5.06965,0.06069,,,,,0.222,,22h06m06.41s,331.5267,-10d42m41.6s,-10.711549,,11.71,V (Johnson),5958,1.16,1.71,2.49,0
863,K2-68,b,1,8.05428,0.0708,,,,,0.141,,22h16m04.75s,334.019783,-10d34m02.3s,-10.567318,,12.977,V (Johnson),4746,0.73,0.68,1.58,0
864,K2-69,b,1,7.06599,0.0591,,,,,0.207,,22h23m02.29s,335.759539,-10d29m18.9s,-10.48858,,14.807,Kepler-band,4127,0.55,0.49,2.32,0
865,K2-7,b,1,28.67992,0.1814,,,,,0.238,,11h08m22.51s,167.093771,-01d03m56.7s,-1.065755,,13.213,V (Johnson),5772,0.97,0.96,2.67,0
866,K2-70,b,1,13.97896,0.1112,,,,,0.258,,22h33m54.19s,338.475795,-10d05m05.8s,-10.084946,,12.989,V (Johnson),5622,0.94,0.93,2.89,0
867,K2-71,b,1,6.98541,0.0559,,,,,0.192,,22h46m53.86s,341.724437,-09d52m53.8s,-9.881619,,14.875,Kepler-band,4006,0.48,0.43,2.15,0
868,K2-72,b,4,5.57739,0.037,,,,,0.067,,22h18m29.27s,334.621964,-09d36m44.6s,-9.612382,,15.309,V (Johnson),3497,0.22,0.23,0.75,0
869,K2-72,c,4,15.1871,0.0722,,,,,0.077,,22h18m29.27s,334.621964,-09d36m44.6s,-9.612382,,15.309,V (Johnson),3497,0.22,0.23,0.86,0
870,K2-72,d,4,7.7599,0.0461,,,,,0.065,,22h18m29.27s,334.621964,-09d36m44.6s,-9.612382,,15.309,V (Johnson),3497,0.22,0.23,0.73,0
871,K2-72,e,4,24.1669,0.098,,,,,0.073,,22h18m29.27s,334.621964,-09d36m44.6s,-9.612382,,15.309,V (Johnson),3497,0.22,0.23,0.82,0
872,K2-73,b,1,7.49543,0.07619,,,,,0.219,,22h20m06.11s,335.025479,-09d03m21.9s,-9.056093,,11.345,V (Johnson),5922,1.05,1.06,2.45,0
873,K2-74,b,1,19.5666,0.1402,,,,,0.206,,22h39m40.64s,339.91935,-08d42m52.2s,-8.714505,,12.588,V (Johnson),6060,0.96,0.98,2.31,0
874,K2-75,b,2,7.8142,0.081,,,,,0.238,,22h35m22.76s,338.84485,-07d28m11.5s,-7.469853,,12.701,V (Johnson),5995,1.16,1.56,2.67,0
875,K2-75,c,2,18.311,0.1429,,,,,0.247,,22h35m22.76s,338.84485,-07d28m11.5s,-7.469853,,12.701,V (Johnson),5995,1.16,1.56,2.77,0
876,K2-77,b,1,8.199796,,0.14,88.7,1.9,Mass,0.205,,03h40m54.82s,55.228426,+12d34m21.4s,12.572612,141,12.158,V (Johnson),4970,0.8,0.76,2.3,0
877,K2-79,b,1,10.99573,0.0987,,,,,0.329,,03h41m01.42s,55.255905,+13d31m09.7s,13.519372,,12.075,V (Johnson),5926,1.06,1.28,3.69,0
878,K2-8,b,2,10.35239,0.0856,,86.42,,,0.319,,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,,14.61,V (Johnson),4870,0.78,0.74,3.58,0
879,K2-8,c,2,5.06416,0.0532,,86.7,,,0.215,,11h19m10.48s,169.793665,-00d17m03.8s,-0.284375,,14.61,V (Johnson),4870,0.78,0.74,2.41,0
880,K2-80,b,2,19.0918,0.135,,,,,0.179,,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,,12.626,V (Johnson),5441,0.9,0.87,2.01,0
881,K2-80,c,2,5.605,0.0596,,,,,0.131,,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,,12.626,V (Johnson),5441,0.9,0.87,1.47,0
882,K2-81,b,1,6.10224,0.0579,,,,,0.162,,03h49m56.52s,57.485488,+14d30m07.9s,14.5022,,14.364,V (Johnson),4530,0.7,0.63,1.82,0
883,K2-83,b,2,2.74697,0.03014,,,,,0.111,,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,14.514,V (Johnson),3910,0.48,0.42,1.244,0
884,K2-83,c,2,9.99767,0.07131,,,,,0.132,,03h59m36.37s,59.901562,+15d33m32.0s,15.558886,,14.514,V (Johnson),3910,0.48,0.42,1.483,0
885,K2-84,b,2,6.4215,0.0665,,,,,0.215,,03h43m14.23s,55.809274,+16d38m04.4s,16.634549,,13.443,V (Johnson),5652,0.95,0.93,2.41,0
886,K2-84,c,2,27.86,0.1768,,,,,0.181,,03h43m14.23s,55.809274,+16d38m04.4s,16.634549,,13.443,V (Johnson),5652,0.95,0.93,2.03,0
887,K2-85,b,1,0.684533,0.01263,,,,,0.09,,03h57m51.45s,59.464394,+18d27m54.9s,18.465254,,12.831,V (Johnson),4268,0.57,0.51,1.01,0
888,K2-86,b,1,8.77683,0.077,,,,,0.175,,03h26m12.67s,51.5528,+18d38m08.2s,18.635616,,13.167,V (Johnson),5482,0.79,0.76,1.96,0
889,K2-87,b,1,9.72739,0.0876,,,,,0.41,,04h24m56.69s,66.236225,+18d49m38.7s,18.827418,,14.134,V (Johnson),5406,0.95,0.93,4.6,0
890,K2-88,b,1,4.6122,0.0345,,,,,0.11,,03h39m00.38s,54.751598,+19d07m12.6s,19.120178,,15.476,V (Johnson),3537,0.26,0.26,1.23,0
891,K2-89,b,1,1.096026,0.01462,,,,,0.055,,03h48m16.01s,57.066715,+20d27m34.7s,20.459638,,14.162,V (Johnson),3691,0.35,0.32,0.615,0
892,K2-9,b,1,18.4498,0.091,,87.983,,,0.201,,11h45m03.47s,176.264468,+00d00m19.1s,0.005301,110,15.63,V (Johnson),3390,0.3,0.31,2.25,0
893,K2-90,b,2,13.7311,0.0926,,,,,0.182,,03h56m36.58s,59.152405,+22d28m21.5s,22.472632,,13.855,V (Johnson),4136,0.56,0.49,2.04,0
894,K2-90,c,2,2.90032,0.0328,,,,,0.091,,03h56m36.58s,59.152405,+22d28m21.5s,22.472632,,13.855,V (Johnson),4136,0.56,0.49,1.02,0
895,K2-91,b,1,1.419549,0.0164,,,,,0.098,,04h12m52.33s,63.218062,+24d12m18.4s,24.205112,,15.572,V (Johnson),3622,0.29,0.28,1.1,0
896,K2-95,b,1,10.13389,0.0653,,88.77,0.03458,Mass,0.31,,08h37m27.06s,129.362743,+18d58m36.1s,18.976685,172,15.498,Kepler-band,3471,0.36,0.4,3.47,0
897,K2-97,b,1,8.4061,,,,1.1,Mass,1.31,0.02,08h31m03.08s,127.762836,+10d50m51.3s,10.847586,763,12.611,V (Johnson),4790,1.16,4.2,14.684,0
898,K2-98,b,1,10.13675,0.0943,0,89,0.10131,Mass,0.384,2.15,08h25m57.19s,126.488289,+11d30m40.1s,11.511145,435,12.166,V (Johnson),6120,1.07,1.31,4.3,0
899,K2-99,b,1,18.249,0.159,0.19,87.7,0.97,Mass,1.29,,13h55m05.70s,208.773747,-05d26m32.9s,-5.442466,606,11.149,V (Johnson),5990,1.6,3.1,14.46,0
900,KELT-1,b,1,1.217514,0.02466,0.0099,87.8,27.23,Mass,1.11,24.7,00h01m26.91s,0.362142,+39d23m01.7s,39.383808,262,10.701,V (Johnson),6518,1.32,1.46,12.442,0
901,KELT-10,b,1,4.1662739,0.0525,,88.61,0.679,Mass,1.399,0.308,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,183,10.854,V (Johnson),5948,1.11,1.21,15.681,0
902,KELT-11,b,1,4.736529,0.06229,0,85.8,0.195,Mass,1.37,0.093,10h46m49.74s,161.70726,-09d23m56.5s,-9.399025,98,8.037,V (Johnson),5370,1.44,2.72,15.356,0
903,KELT-12,b,1,5.031623,0.06708,0,84.47,0.95,Mass,1.78,0.209,17h50m33.72s,267.640503,+36d34m12.8s,36.570232,360,10.59,V (Johnson),6279,1.59,2.37,19.952,0
904,KELT-14,b,1,1.7100566,0.03005,0,78.3,1.284,Mass,1.743,0.322,07h13m12.36s,108.301485,-42d24m35.1s,-42.409744,266,11,V (Johnson),5720,1.24,1.52,19.537,0
905,KELT-15,b,1,3.329441,0.04613,0,88.3,0.91,Mass,1.443,0.36,07h49m39.61s,117.415037,-52d07m13.6s,-52.120453,291,11.189,V (Johnson),6003,1.18,1.48,16.175,0
906,KELT-16,b,1,0.9689951,0.02044,0,84.4,2.75,Mass,1.415,1.2,20h57m04.44s,314.268494,+31d39m39.7s,31.661034,395.26,11.898,V (Johnson),6236,1.21,1.36,15.861,0
907,KELT-17,b,1,3.0801716,0.04881,,84.87,1.31,Mass,1.525,0.46,08h22m28.21s,125.617523,+13d44m07.1s,13.735319,210,9.286,V (Johnson),7454,1.64,1.65,17.094,0
908,KELT-18,b,1,2.8717518,0.0455,0,88.86,1.18,Mass,1.57,0.377,14h26m05.76s,216.524017,+59d26m39.4s,59.444275,311,10.117,V (Johnson),6670,1.52,1.91,17.598,0
909,KELT-2 A,b,1,4.1137912,0.05496,0,88.6,1.522,Mass,1.286,,06h10m39.35s,92.663948,+30d57m25.7s,30.957144,124.22,8.713,V (Johnson),6151,1.31,1.83,14.415,0
910,KELT-20,b,1,3.4741085,0.0542,,86.12,3.382,Mass,1.741,0.806,19h38m38.74s,294.661407,+31d13m09.2s,31.219225,139.7,7.58,V (Johnson),8720,1.76,1.56,19.515,0
911,KELT-3,b,1,2.7033904,0.04122,0,84.23,1.477,Mass,1.345,0.75,09h54m34.40s,148.643324,+40d23m17.0s,40.388069,178,9.873,V (Johnson),6306,1.28,1.47,15.076,0
912,KELT-4 A,b,1,2.9895932,0.04317,0,83.16,0.902,Mass,1.699,0.228,10h28m15.01s,157.062546,+25d34m23.5s,25.573189,210,9.98,V (Johnson),6206,1.2,1.6,19.044,0
913,KELT-6,b,2,7.8455821,0.08,0.029,88.81,0.442,Msin(i)/sin(i),1.18,,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222,10.418,V (Johnson),6272,1.13,1.53,13.227,0
914,KELT-6,c,2,1276,2.39,0.21,,3.71,Msini,,,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222,10.418,V (Johnson),6272,1.13,1.53,,0
915,KELT-7,b,1,2.7347749,0.04415,0,83.76,1.28,Mass,1.533,0.442,05h13m10.93s,78.295532,+33d19m05.4s,33.318165,129,8.54,V (Johnson),6789,1.53,1.73,17.183,0
916,KELT-8,b,1,3.24406,0.04571,0.035,82.65,0.867,Mass,1.86,0.167,18h53m13.32s,283.30551,+24d07m38.6s,24.12738,236,10.833,V (Johnson),5754,1.21,1.67,20.849,0
917,KELT-9,b,1,1.4811235,0.03462,0,86.79,2.88,Mass,1.891,0.53,20h31m26.35s,307.859802,+39d56m19.8s,39.938828,188.7,7.55,V (Johnson),10170,2.52,2.36,21.196,0
918,KIC 10001893,b,3,0.2197,,,,,,,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,,0
919,KIC 10001893,c,3,0.32528,,,,,,,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,,0
920,KIC 10001893,d,3,0.81161,,,,,,,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,,0
921,KIC 10525077,b,1,854.083,,,89.861,,,0.491,,19h09m30.74s,287.378077,+47d46m16.3s,47.771187,,15.355,Kepler-band,6091,1.01,1.01,5.5,0
922,KIC 3558849,b,1,1322.3,,,89.973,,,0.616,,19h39m47.96s,294.949847,+38d36m18.7s,38.605197,,14.218,Kepler-band,6175,0.98,1.01,6.9,0
923,KIC 5437945,b,2,440.7813,,,89.904,,,0.571,,19h13m53.97s,288.474857,+40d39m04.9s,40.651357,,13.771,Kepler-band,6340,1.07,1.24,6.4,0
924,KIC 5951458,b,1,1320.1,,,89.799,,,0.589,,19h15m57.98s,288.991582,+41d13m22.9s,41.223038,,12.713,Kepler-band,6258,0.98,1.52,6.6,0
925,KIC 7917485,b,1,840,,0.15,,11.8,Msini,,,19h57m44.30s,299.434592,+43d37m57.4s,43.632622,,13.2,V (Johnson),7067,1.63,,,0
926,KOI-7892,b,2,31.8099,,,89.3,,,0.366,,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,,14.294,Kepler-band,6474,1.04,1.26,4.1,0
927,KOI-7892,c,2,75.2,,,89.701,,,0.214,,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,,14.294,Kepler-band,6474,1.04,1.26,2.4,0
928,KIC 9663113,b,1,572.3847,,,89.768,,,0.41,,19h48m10.90s,297.045421,+46d19m43.3s,46.328701,,13.955,Kepler-band,6065,0.98,1.03,4.6,0
929,KOI-12,b,1,17.8552333,0.151,0.72,88.95,10,Mass,1.43,,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,426,11.353,Kepler-band,6820,1.45,1.63,16.029,0
930,KOI-1257,b,1,86.647661,0.382,0.772,89.66,1.45,Mass,0.94,2.1,19h24m54.04s,291.22518,+44d55m38.6s,44.927383,900,14.867,V (Johnson),5520,0.99,1.13,10.54,0
931,KOI-13,b,1,1.763588,0.03641,0.00064,86.77,9.28,Mass,1.512,3.6,19h07m53.09s,286.971199,+46d52m06.1s,46.868362,,9.958,Kepler-band,7650,1.72,1.74,16.948,0
932,KOI-142,b,2,10.95416,,0.05593,89.055,0.027,Mass,0.337,0.87,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339,13.11,V (Johnson),5471,0.96,0.88,3.78,0
933,KOI-142,c,2,22.3395,0.15525,0.05628,86.2,0.626,Mass,,,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339,13.11,V (Johnson),5471,0.96,0.88,,0
934,KOI-217,b,1,3.90512,0.0477,0,89.8,,,1.11,,19h39m27.72s,294.865505,+46d17m09.1s,46.285854,800,15.127,Kepler-band,5545,0.95,0.86,12.442,0
935,KOI-351,b,7,7.008151,0.074,,89.4,,,0.117,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,1.31,0
936,KOI-351,c,7,8.719375,0.089,,89.68,,,0.106,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,1.19,0
937,KOI-351,d,7,59.73667,0.32,,89.71,,,0.256,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,2.87,0
938,KOI-351,e,7,91.93913,0.42,,89.79,,,0.237,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,2.66,0
939,KOI-351,f,7,124.9144,0.48,,89.77,,,0.257,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,2.88,0
940,KOI-351,g,7,210.60697,0.71,,89.8,,,0.723,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,8.1,0
941,KOI-351,h,7,331.60059,1.01,,89.6,,,1.008,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,11.3,0
942,KOI-55,b,2,0.240104,0.006,,65,0.0014,Mass,0.068,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180,14.87,V (Johnson),27730,0.5,0.2,0.759,0
943,KOI-55,c,2,0.342887,0.0076,,65,0.0021,Mass,0.077,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180,14.87,V (Johnson),27730,0.5,0.2,0.867,0
944,KOI-94,b,4,3.743208,0.05119,0.25,89.3,0.033,Mass,0.153,10.1,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,1.71,0
945,KOI-94,c,4,10.423648,0.1013,0.43,88.36,0.049,Mass,0.385,0.91,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,4.32,0
946,KOI-94,d,4,22.342989,0.1684,0.022,89.871,0.334,Mass,1.005,0.363,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,11.27,0
947,KOI-94,e,4,54.32031,0.3046,0.019,89.76,0.11,Mass,0.585,0.6,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,6.56,0
948,Kapteyn,c,1,121.54,0.311,0.23,,0.022,Msini,,,05h11m40.58s,77.91909,-45d01m06.3s,-45.018414,3.92,8.845,V (Johnson),3550,0.28,0.29,,0
949,Kepler-10,b,2,0.837491,0.0172,,85.1,0.0145,Mass,0.132,8,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,10.94,V (Johnson),5627,0.91,1.06,1.481,0
950,Kepler-10,c,2,45.294301,,0,89.59,0.054,Mass,0.21,7.1,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,10.94,V (Johnson),5627,0.91,1.06,2.35,0
951,Kepler-100,b,3,6.88705,,,,0.023,Mass,0.118,14.25,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,1.32,0
952,Kepler-100,c,3,12.8159,,,,,,0.196,,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,2.2,0
953,Kepler-100,d,3,35.3331,,,,,,0.144,,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,1.61,0
954,Kepler-1000,b,1,120.0181272,,,,,,0.425,,19h06m44.53s,286.685523,+47d05m53.6s,47.098221,925,13.256,Kepler-band,6453,1.4,1.51,4.76,0
955,Kepler-1001,b,1,14.30511983,,,,,,0.281,,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,1009,15.338,Kepler-band,5491,0.9,0.88,3.15,0
956,Kepler-1002,b,1,4.33642933,,,,,,0.153,,19h32m19.08s,293.079495,+43d04m25.4s,43.073715,425,11.704,Kepler-band,6144,1.22,1.57,1.71,0
957,Kepler-1003,b,1,3.55485691,,,,,,0.159,,19h28m04.91s,292.020456,+44d52m34.4s,44.876217,873,14.053,Kepler-band,6109,1.11,1.17,1.78,0
958,Kepler-1004,b,1,5.28789787,,,,,,0.56,,19h49m26.23s,297.359299,+49d47m51.2s,49.79755,1080,13.427,Kepler-band,4972,1.11,3.39,6.28,0
959,Kepler-1005,b,1,6.49801525,,,,,,0.134,,19h05m08.64s,286.286014,+43d19m13.7s,43.320461,515,13.25,Kepler-band,5782,1,1.06,1.5,0
960,Kepler-1006,b,1,19.76172042,,,,,,0.137,,19h43m00.99s,295.754127,+42d32m14.9s,42.537476,496,14.563,Kepler-band,5328,0.78,0.74,1.54,0
961,Kepler-1007,b,1,5.18500207,,,,,,0.128,,19h43m37.57s,295.906552,+45d48m32.8s,45.80912,365,14.744,Kepler-band,4587,0.73,0.7,1.44,0
962,Kepler-1008,b,1,12.43931193,,,,,,0.114,,19h46m11.41s,296.547525,+44d56m31.0s,44.941933,299,13.395,Kepler-band,5066,0.81,0.78,1.28,0
963,Kepler-1009,b,1,11.35011917,,,,,,0.194,,18h51m26.38s,282.85993,+42d39m56.8s,42.665764,281,15.278,Kepler-band,4027,0.59,0.57,2.17,0
964,Kepler-101,b,2,3.4876812,0.0474,0.086,85.82,0.16,Mass,0.51,1.45,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,13.8,V (Johnson),5667,1.17,1.56,5.77,0
965,Kepler-101,c,2,6.02976,0.0684,0,84.6,0.01,Mass,0.112,10.5,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,13.8,V (Johnson),5667,1.17,1.56,1.25,0
966,Kepler-1010,b,1,34.2685705,,,,,,0.207,,19h16m46.23s,289.192636,+44d08m57.6s,44.149326,610,14.685,Kepler-band,5253,0.86,0.82,2.32,0
967,Kepler-1011,b,1,5.75322197,,,,,,0.256,,19h49m36.37s,297.401546,+46d49m26.4s,46.824001,860,15.196,Kepler-band,5416,0.91,0.88,2.87,0
968,Kepler-1012,b,1,5.50860439,,,,,,0.115,,19h17m11.10s,289.29627,+46d27m28.6s,46.457954,420,13.317,Kepler-band,5556,0.95,0.91,1.29,0
969,Kepler-1013,b,1,18.93054959,,,,,,0.192,,19h20m59.54s,290.248072,+44d26m06.9s,44.435242,433,14.417,Kepler-band,4954,0.81,0.76,2.15,0
970,Kepler-1014,b,1,16.57110363,,,,,,0.213,,19h00m29.29s,285.122033,+44d06m38.2s,44.110603,672,14.64,Kepler-band,5388,0.88,0.84,2.39,0
971,Kepler-1015,b,1,16.00494214,,,,,,0.317,,19h31m01.76s,292.75733,+43d25m36.9s,43.42691,932,12.818,Kepler-band,6769,1.49,1.81,3.55,0
972,Kepler-1016,b,2,1.95452434,,,,,,0.194,,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239,15.356,Kepler-band,5821,0.99,1,2.18,0
973,Kepler-1016,c,2,105.6551369,,,,,,0.328,,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239,15.356,Kepler-band,5821,0.99,1,3.68,0
974,Kepler-1017,b,1,7.23400469,,,,,,0.178,,18h53m52.65s,283.469362,+40d07m57.4s,40.132607,554,14.139,Kepler-band,5473,0.93,0.87,1.99,0
